"source","file","name_ncsa","name_rfars","label","Definition","Additional Information","value","value_label","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"FARS","accident","STATE","state","State Number",NA,"GSA State data elements except for 43, Puerto Rico. The State in which the vehicle is registered, REG_STAT, is found in the Vehicle data file; the coding is the same.","19","Iowa","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","STATE","state","State Number",NA,"GSA State data elements except for 43, Puerto Rico. The State in which the vehicle is registered, REG_STAT, is found in the Vehicle data file; the coding is the same.","20","Kansas","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","STATE","state","State Number",NA,"GSA State data elements except for 43, Puerto Rico. The State in which the vehicle is registered, REG_STAT, is found in the Vehicle data file; the coding is the same.","21","Kentucky","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","STATE","state","State Number",NA,"GSA State data elements except for 43, Puerto Rico. The State in which the vehicle is registered, REG_STAT, is found in the Vehicle data file; the coding is the same.","22","Louisiana","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","STATE","state","State Number",NA,"GSA State data elements except for 43, Puerto Rico. The State in which the vehicle is registered, REG_STAT, is found in the Vehicle data file; the coding is the same.","23","Maine","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","STATE","state","State Number",NA,"GSA State data elements except for 43, Puerto Rico. The State in which the vehicle is registered, REG_STAT, is found in the Vehicle data file; the coding is the same.","24","Maryland","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","STATE","state","State Number",NA,"GSA State data elements except for 43, Puerto Rico. The State in which the vehicle is registered, REG_STAT, is found in the Vehicle data file; the coding is the same.","25","Massachusetts","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","STATE","state","State Number",NA,"GSA State data elements except for 43, Puerto Rico. The State in which the vehicle is registered, REG_STAT, is found in the Vehicle data file; the coding is the same.","26","Michigan","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","STATE","state","State Number",NA,"GSA State data elements except for 43, Puerto Rico. The State in which the vehicle is registered, REG_STAT, is found in the Vehicle data file; the coding is the same.","27","Minnesota","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","STATE","state","State Number",NA,"GSA State data elements except for 43, Puerto Rico. The State in which the vehicle is registered, REG_STAT, is found in the Vehicle data file; the coding is the same.","28","Mississippi","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","STATE","state","State Number",NA,"GSA State data elements except for 43, Puerto Rico. The State in which the vehicle is registered, REG_STAT, is found in the Vehicle data file; the coding is the same.","29","Missouri","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","STATE","state","State Number",NA,"GSA State data elements except for 43, Puerto Rico. The State in which the vehicle is registered, REG_STAT, is found in the Vehicle data file; the coding is the same.","30","Montana","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","STATE","state","State Number",NA,"GSA State data elements except for 43, Puerto Rico. The State in which the vehicle is registered, REG_STAT, is found in the Vehicle data file; the coding is the same.","31","Nebraska","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","STATE","state","State Number",NA,"GSA State data elements except for 43, Puerto Rico. The State in which the vehicle is registered, REG_STAT, is found in the Vehicle data file; the coding is the same.","32","Nevada","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","STATE","state","State Number",NA,"GSA State data elements except for 43, Puerto Rico. The State in which the vehicle is registered, REG_STAT, is found in the Vehicle data file; the coding is the same.","33","New Hampshire","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","STATE","state","State Number",NA,"GSA State data elements except for 43, Puerto Rico. The State in which the vehicle is registered, REG_STAT, is found in the Vehicle data file; the coding is the same.","34","New Jersey","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","STATE","state","State Number",NA,"GSA State data elements except for 43, Puerto Rico. The State in which the vehicle is registered, REG_STAT, is found in the Vehicle data file; the coding is the same.","35","New Mexico","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","STATE","state","State Number",NA,"GSA State data elements except for 43, Puerto Rico. The State in which the vehicle is registered, REG_STAT, is found in the Vehicle data file; the coding is the same.","36","New York","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","STATE","state","State Number",NA,"GSA State data elements except for 43, Puerto Rico. The State in which the vehicle is registered, REG_STAT, is found in the Vehicle data file; the coding is the same.","37","North Carolina","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","STATE","state","State Number",NA,"GSA State data elements except for 43, Puerto Rico. The State in which the vehicle is registered, REG_STAT, is found in the Vehicle data file; the coding is the same.","38","North Dakota","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","STATE","state","State Number",NA,"GSA State data elements except for 43, Puerto Rico. The State in which the vehicle is registered, REG_STAT, is found in the Vehicle data file; the coding is the same.","39","Ohio","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","STATE","state","State Number",NA,"GSA State data elements except for 43, Puerto Rico. The State in which the vehicle is registered, REG_STAT, is found in the Vehicle data file; the coding is the same.","40","Oklahoma","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","STATE","state","State Number",NA,"GSA State data elements except for 43, Puerto Rico. The State in which the vehicle is registered, REG_STAT, is found in the Vehicle data file; the coding is the same.","41","Oregon","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","STATE","state","State Number",NA,"GSA State data elements except for 43, Puerto Rico. The State in which the vehicle is registered, REG_STAT, is found in the Vehicle data file; the coding is the same.","42","Pennsylvania","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","STATE","state","State Number",NA,"GSA State data elements except for 43, Puerto Rico. The State in which the vehicle is registered, REG_STAT, is found in the Vehicle data file; the coding is the same.","43","Puerto Rico","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","STATE","state","State Number",NA,"GSA State data elements except for 43, Puerto Rico. The State in which the vehicle is registered, REG_STAT, is found in the Vehicle data file; the coding is the same.","44","Rhode Island","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","STATE","state","State Number",NA,"GSA State data elements except for 43, Puerto Rico. The State in which the vehicle is registered, REG_STAT, is found in the Vehicle data file; the coding is the same.","45","South Carolina","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","STATE","state","State Number",NA,"GSA State data elements except for 43, Puerto Rico. The State in which the vehicle is registered, REG_STAT, is found in the Vehicle data file; the coding is the same.","46","South Dakota","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","STATE","state","State Number",NA,"GSA State data elements except for 43, Puerto Rico. The State in which the vehicle is registered, REG_STAT, is found in the Vehicle data file; the coding is the same.","47","Tennessee","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","STATE","state","State Number",NA,"GSA State data elements except for 43, Puerto Rico. The State in which the vehicle is registered, REG_STAT, is found in the Vehicle data file; the coding is the same.","48","Texas","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","STATE","state","State Number",NA,"GSA State data elements except for 43, Puerto Rico. The State in which the vehicle is registered, REG_STAT, is found in the Vehicle data file; the coding is the same.","49","Utah","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","STATE","state","State Number",NA,"GSA State data elements except for 43, Puerto Rico. The State in which the vehicle is registered, REG_STAT, is found in the Vehicle data file; the coding is the same.","50","Vermont","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","STATE","state","State Number",NA,"GSA State data elements except for 43, Puerto Rico. The State in which the vehicle is registered, REG_STAT, is found in the Vehicle data file; the coding is the same.","51","Virginia","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","STATE","state","State Number",NA,"GSA State data elements except for 43, Puerto Rico. The State in which the vehicle is registered, REG_STAT, is found in the Vehicle data file; the coding is the same.","52","Virgin Islands","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","STATE","state","State Number",NA,"GSA State data elements except for 43, Puerto Rico. The State in which the vehicle is registered, REG_STAT, is found in the Vehicle data file; the coding is the same.","53","Washington","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","STATE","state","State Number",NA,"GSA State data elements except for 43, Puerto Rico. The State in which the vehicle is registered, REG_STAT, is found in the Vehicle data file; the coding is the same.","54","West Virginia","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","STATE","state","State Number",NA,"GSA State data elements except for 43, Puerto Rico. The State in which the vehicle is registered, REG_STAT, is found in the Vehicle data file; the coding is the same.","55","Wisconsin","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","STATE","state","State Number",NA,"GSA State data elements except for 43, Puerto Rico. The State in which the vehicle is registered, REG_STAT, is found in the Vehicle data file; the coding is the same.","56","Wyoming","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","VE_TOTAL","ve_total","Number of Vehicle Forms Submitted","This data element is the number of contact motor vehicles that the officer reported on the police crash report as a unit involved in the crash.","This number represents all of the motor vehicles in the crash. This includes the vehicles in- transport that are in the Vehicle data file and the vehicles not in-transport that are in the Parkwork data file (previously Vehnit). This data element only appears in the Accident data file. Note: The Parkwork data file replaced the Vehnit data file in 2010. The Vehnit data file does not exist prior to 2005.",NA,"(Self-evident)","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","VE_FORMS","ve_forms","Number of Vehicle Forms Submitted for MV In Transport","This data element is a count of the number of motor vehicles in-transport involved in the crash. Legally parked vehicles are not included.",NA,NA,"(Self-evident)","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","PVH_INVL","pvh_invl","Number of Parked/Working Vehicles","This data element is a count of the number of parked and working vehicles involved in the crash.",NA,NA,"(Self-evident)","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","PEDS","peds","Number of Forms Submitted for Persons Not in Motor Vehicles","This data element is the number of Person Forms (Not a Motor Vehicle Occupant) that are applicable to this case (i.e., non-occupants).",NA,NA,"(Self-evident)","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","PERNOTMVIT","pernotmvit","Number of Persons Not in Motor Vehicles In-Transport","This data element is a count of the number of non-motorists in the crash. A non-motorist is defined as a pedestrian, a cyclist, an occupant of a motor vehicle not in-transport, a person riding a horse, an occupant of an animal drawn conveyance, person associated with non-motorist conveyance (e.g., baby carriage, skateboard, wheelchair), or an other non-motorist (e.g., person outside a trafficway, person in a house).",NA,NA,"(Self-evident)","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","PERMVIT","permvit","Number of Persons in Motor Vehicles In-Transport","This data element is a count of the number of motorists in the crash. A motorist is a driver, passenger, or unknown occupant type of a motor vehicle in-transport.",NA,NA,"(Self-evident)","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","PERSONS","persons","Number of MV Occupant","This data element is a count of the number of Person Level (Motor Vehicle Occupant) Forms that are applicable to this case (i.e., occupants).",NA,NA,"(Self-evident)","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","COUNTY","county","County",NA,"GSA geographical codes are somewhat stable. Occasionally one code will be divided into two codes. This data element also appears in the Person data file.",NA,"(Self-evident)","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","CITY","city","City",NA,"GSA geographical codes are somewhat stable. Occasionally one code will be divided into two codes.",NA,"(Self-evident)","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","DAY","day","Crash Date (Day)","This data element records the day of the month on which the crash occurred.","This data element also appears in the Vehicle and Person data files and in the Parkwork data file as PDAY.","1","1","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","DAY","day","Crash Date (Day)","This data element records the day of the month on which the crash occurred.","This data element also appears in the Vehicle and Person data files and in the Parkwork data file as PDAY.","2","2","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","DAY","day","Crash Date (Day)","This data element records the day of the month on which the crash occurred.","This data element also appears in the Vehicle and Person data files and in the Parkwork data file as PDAY.","3","3","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","DAY","day","Crash Date (Day)","This data element records the day of the month on which the crash occurred.","This data element also appears in the Vehicle and Person data files and in the Parkwork data file as PDAY.","4","4","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","DAY","day","Crash Date (Day)","This data element records the day of the month on which the crash occurred.","This data element also appears in the Vehicle and Person data files and in the Parkwork data file as PDAY.","5","5","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","DAY","day","Crash Date (Day)","This data element records the day of the month on which the crash occurred.","This data element also appears in the Vehicle and Person data files and in the Parkwork data file as PDAY.","6","6","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","DAY","day","Crash Date (Day)","This data element records the day of the month on which the crash occurred.","This data element also appears in the Vehicle and Person data files and in the Parkwork data file as PDAY.","7","7","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","DAY","day","Crash Date (Day)","This data element records the day of the month on which the crash occurred.","This data element also appears in the Vehicle and Person data files and in the Parkwork data file as PDAY.","8","8","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","DAY","day","Crash Date (Day)","This data element records the day of the month on which the crash occurred.","This data element also appears in the Vehicle and Person data files and in the Parkwork data file as PDAY.","9","9","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","DAY","day","Crash Date (Day)","This data element records the day of the month on which the crash occurred.","This data element also appears in the Vehicle and Person data files and in the Parkwork data file as PDAY.","10","10","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","DAY","day","Crash Date (Day)","This data element records the day of the month on which the crash occurred.","This data element also appears in the Vehicle and Person data files and in the Parkwork data file as PDAY.","11","11","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","DAY","day","Crash Date (Day)","This data element records the day of the month on which the crash occurred.","This data element also appears in the Vehicle and Person data files and in the Parkwork data file as PDAY.","12","12","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","DAY","day","Crash Date (Day)","This data element records the day of the month on which the crash occurred.","This data element also appears in the Vehicle and Person data files and in the Parkwork data file as PDAY.","13","13","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","DAY","day","Crash Date (Day)","This data element records the day of the month on which the crash occurred.","This data element also appears in the Vehicle and Person data files and in the Parkwork data file as PDAY.","14","14","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","DAY","day","Crash Date (Day)","This data element records the day of the month on which the crash occurred.","This data element also appears in the Vehicle and Person data files and in the Parkwork data file as PDAY.","15","15","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","DAY","day","Crash Date (Day)","This data element records the day of the month on which the crash occurred.","This data element also appears in the Vehicle and Person data files and in the Parkwork data file as PDAY.","16","16","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","DAY","day","Crash Date (Day)","This data element records the day of the month on which the crash occurred.","This data element also appears in the Vehicle and Person data files and in the Parkwork data file as PDAY.","17","17","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","DAY","day","Crash Date (Day)","This data element records the day of the month on which the crash occurred.","This data element also appears in the Vehicle and Person data files and in the Parkwork data file as PDAY.","18","18","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","DAY","day","Crash Date (Day)","This data element records the day of the month on which the crash occurred.","This data element also appears in the Vehicle and Person data files and in the Parkwork data file as PDAY.","19","19","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","DAY","day","Crash Date (Day)","This data element records the day of the month on which the crash occurred.","This data element also appears in the Vehicle and Person data files and in the Parkwork data file as PDAY.","20","20","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","DAY","day","Crash Date (Day)","This data element records the day of the month on which the crash occurred.","This data element also appears in the Vehicle and Person data files and in the Parkwork data file as PDAY.","21","21","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","DAY","day","Crash Date (Day)","This data element records the day of the month on which the crash occurred.","This data element also appears in the Vehicle and Person data files and in the Parkwork data file as PDAY.","22","22","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","DAY","day","Crash Date (Day)","This data element records the day of the month on which the crash occurred.","This data element also appears in the Vehicle and Person data files and in the Parkwork data file as PDAY.","23","23","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","DAY","day","Crash Date (Day)","This data element records the day of the month on which the crash occurred.","This data element also appears in the Vehicle and Person data files and in the Parkwork data file as PDAY.","24","24","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","DAY","day","Crash Date (Day)","This data element records the day of the month on which the crash occurred.","This data element also appears in the Vehicle and Person data files and in the Parkwork data file as PDAY.","25","25","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","DAY","day","Crash Date (Day)","This data element records the day of the month on which the crash occurred.","This data element also appears in the Vehicle and Person data files and in the Parkwork data file as PDAY.","26","26","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","DAY","day","Crash Date (Day)","This data element records the day of the month on which the crash occurred.","This data element also appears in the Vehicle and Person data files and in the Parkwork data file as PDAY.","27","27","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","DAY","day","Crash Date (Day)","This data element records the day of the month on which the crash occurred.","This data element also appears in the Vehicle and Person data files and in the Parkwork data file as PDAY.","28","28","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","DAY","day","Crash Date (Day)","This data element records the day of the month on which the crash occurred.","This data element also appears in the Vehicle and Person data files and in the Parkwork data file as PDAY.","29","29","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","DAY","day","Crash Date (Day)","This data element records the day of the month on which the crash occurred.","This data element also appears in the Vehicle and Person data files and in the Parkwork data file as PDAY.","30","30","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","DAY","day","Crash Date (Day)","This data element records the day of the month on which the crash occurred.","This data element also appears in the Vehicle and Person data files and in the Parkwork data file as PDAY.","31","31","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","MONTH","month","Crash Date (Month)","This data element records the month in which the crash occurred.","This data element also appears in the Vehicle and Person data files and in the Parkwork data file as PMONTH.","1","January","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","MONTH","month","Crash Date (Month)","This data element records the month in which the crash occurred.","This data element also appears in the Vehicle and Person data files and in the Parkwork data file as PMONTH.","2","February","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","MONTH","month","Crash Date (Month)","This data element records the month in which the crash occurred.","This data element also appears in the Vehicle and Person data files and in the Parkwork data file as PMONTH.","3","March","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","MONTH","month","Crash Date (Month)","This data element records the month in which the crash occurred.","This data element also appears in the Vehicle and Person data files and in the Parkwork data file as PMONTH.","4","April","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","MONTH","month","Crash Date (Month)","This data element records the month in which the crash occurred.","This data element also appears in the Vehicle and Person data files and in the Parkwork data file as PMONTH.","5","May","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","MONTH","month","Crash Date (Month)","This data element records the month in which the crash occurred.","This data element also appears in the Vehicle and Person data files and in the Parkwork data file as PMONTH.","6","June","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","MONTH","month","Crash Date (Month)","This data element records the month in which the crash occurred.","This data element also appears in the Vehicle and Person data files and in the Parkwork data file as PMONTH.","7","July","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","MONTH","month","Crash Date (Month)","This data element records the month in which the crash occurred.","This data element also appears in the Vehicle and Person data files and in the Parkwork data file as PMONTH.","8","August","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","MONTH","month","Crash Date (Month)","This data element records the month in which the crash occurred.","This data element also appears in the Vehicle and Person data files and in the Parkwork data file as PMONTH.","9","September","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","MONTH","month","Crash Date (Month)","This data element records the month in which the crash occurred.","This data element also appears in the Vehicle and Person data files and in the Parkwork data file as PMONTH.","10","October","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","MONTH","month","Crash Date (Month)","This data element records the month in which the crash occurred.","This data element also appears in the Vehicle and Person data files and in the Parkwork data file as PMONTH.","11","November","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","MONTH","month","Crash Date (Month)","This data element records the month in which the crash occurred.","This data element also appears in the Vehicle and Person data files and in the Parkwork data file as PMONTH.","12","December","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","YEAR","year","Crash Date (Year)","This data element records the year in which the crash occurred.","NA",NA,"(Self-evident)","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","DAY_WEEK","day_week","Crash Date (Day of Week)","This data element records the day of the week on which the crash occurred.","This data element has been calculated based on the year, month, and day.","1","Sunday","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","DAY_WEEK","day_week","Crash Date (Day of Week)","This data element records the day of the week on which the crash occurred.","This data element has been calculated based on the year, month, and day.","2","Monday","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","DAY_WEEK","day_week","Crash Date (Day of Week)","This data element records the day of the week on which the crash occurred.","This data element has been calculated based on the year, month, and day.","3","Tuesday","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","DAY_WEEK","day_week","Crash Date (Day of Week)","This data element records the day of the week on which the crash occurred.","This data element has been calculated based on the year, month, and day.","4","Wednesday","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","DAY_WEEK","day_week","Crash Date (Day of Week)","This data element records the day of the week on which the crash occurred.","This data element has been calculated based on the year, month, and day.","5","Thursday","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","DAY_WEEK","day_week","Crash Date (Day of Week)","This data element records the day of the week on which the crash occurred.","This data element has been calculated based on the year, month, and day.","6","Friday","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","DAY_WEEK","day_week","Crash Date (Day of Week)","This data element records the day of the week on which the crash occurred.","This data element has been calculated based on the year, month, and day.","7","Saturday","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","DAY_WEEK","day_week","Crash Date (Day of Week)","This data element records the day of the week on which the crash occurred.","This data element has been calculated based on the year, month, and day.","9","Unknown","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","HOUR","hour","Crash Time (Hour)","This data element records the hour at which the crash occurred.","All time is 24-hour military time. The time of the crash/arrival of the emergency medical service can occur in a different day than the arrival of emergency medical service at the crash scene/hospital. If you need to separate day and night, see the data element LGT_COND under the heading Light Condition. This data element also appears in the Vehicle and Person data files and in the Parkwork data file as PHOUR.","0","0:00am-0:59am","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","HOUR","hour","Crash Time (Hour)","This data element records the hour at which the crash occurred.","All time is 24-hour military time. The time of the crash/arrival of the emergency medical service can occur in a different day than the arrival of emergency medical service at the crash scene/hospital. If you need to separate day and night, see the data element LGT_COND under the heading Light Condition. This data element also appears in the Vehicle and Person data files and in the Parkwork data file as PHOUR.","1","1:00am-1:59am","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","HOUR","hour","Crash Time (Hour)","This data element records the hour at which the crash occurred.","All time is 24-hour military time. The time of the crash/arrival of the emergency medical service can occur in a different day than the arrival of emergency medical service at the crash scene/hospital. If you need to separate day and night, see the data element LGT_COND under the heading Light Condition. This data element also appears in the Vehicle and Person data files and in the Parkwork data file as PHOUR.","2","2:00am-2:59am","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","HOUR","hour","Crash Time (Hour)","This data element records the hour at which the crash occurred.","All time is 24-hour military time. The time of the crash/arrival of the emergency medical service can occur in a different day than the arrival of emergency medical service at the crash scene/hospital. If you need to separate day and night, see the data element LGT_COND under the heading Light Condition. This data element also appears in the Vehicle and Person data files and in the Parkwork data file as PHOUR.","3","3:00am-3:59am","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","HOUR","hour","Crash Time (Hour)","This data element records the hour at which the crash occurred.","All time is 24-hour military time. The time of the crash/arrival of the emergency medical service can occur in a different day than the arrival of emergency medical service at the crash scene/hospital. If you need to separate day and night, see the data element LGT_COND under the heading Light Condition. This data element also appears in the Vehicle and Person data files and in the Parkwork data file as PHOUR.","4","4:00am-4:59am","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","HOUR","hour","Crash Time (Hour)","This data element records the hour at which the crash occurred.","All time is 24-hour military time. The time of the crash/arrival of the emergency medical service can occur in a different day than the arrival of emergency medical service at the crash scene/hospital. If you need to separate day and night, see the data element LGT_COND under the heading Light Condition. This data element also appears in the Vehicle and Person data files and in the Parkwork data file as PHOUR.","5","5:00am-5:59am","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","HOUR","hour","Crash Time (Hour)","This data element records the hour at which the crash occurred.","All time is 24-hour military time. The time of the crash/arrival of the emergency medical service can occur in a different day than the arrival of emergency medical service at the crash scene/hospital. If you need to separate day and night, see the data element LGT_COND under the heading Light Condition. This data element also appears in the Vehicle and Person data files and in the Parkwork data file as PHOUR.","6","6:00am-6:59am","1","1","1","1","1","1","1","1","1","1"
